iter	Passed	Remaining
0	131	131749
1	133	66514
2	134	44684
3	135	33757
4	136	27115
5	136	22675
6	137	19509
7	138	17128
8	138	15270
9	139	13778
10	139	12565
11	140	11547
12	140	10687
13	141	9952
14	141	9312
15	142	8752
16	142	8261
17	143	7822
18	143	7428
19	144	7074
20	144	6754
21	145	6464
22	145	6200
23	146	5955
24	146	5730
25	147	5521
26	147	5327
27	148	5147
28	148	4980
29	149	4824
30	149	4683
31	150	4547
32	150	4419
33	151	4297
34	151	4183
35	152	4076
36	152	3974
37	153	3877
38	153	3785
39	154	3698
40	154	3615
41	155	3537
42	155	3463
43	156	3392
44	156	3325
45	157	3261
46	157	3201
47	158	3142
48	159	3086
49	159	3032
50	160	2980
51	160	2930
52	161	2882
53	161	2836
54	162	2792
55	163	2750
56	163	2710
57	164	2670
58	165	2633
59	165	2597
60	166	2561
61	167	2526
62	167	2493
63	168	2461
64	168	2429
65	169	2398
66	170	2369
67	170	2340
68	171	2312
69	172	2288
70	172	2262
71	173	2236
72	174	2212
73	174	2188
74	175	2165
75	176	2142
76	176	2120
77	177	2099
78	178	2077
79	178	2057
80	179	2037
81	180	2018
82	180	1996
83	181	1977
84	181	1958
85	182	1941
86	183	1923
87	184	1906
88	184	1890
89	185	1874
90	186	1858
91	186	1843
92	187	1827
93	188	1812
94	188	1798
95	189	1784
96	190	1770
97	190	1755
98	191	1741
99	191	1727
100	192	1714
101	193	1700
102	193	1687
103	194	1675
104	195	1663
105	195	1651
106	196	1639
107	197	1628
108	197	1616
109	198	1605
110	198	1593
111	199	1584
112	200	1573
113	201	1562
114	201	1552
115	202	1541
116	202	1530
117	203	1520
118	204	1510
119	204	1500
120	205	1491
121	205	1481
122	206	1471
123	207	1463
124	207	1454
125	208	1445
126	208	1435
127	209	1426
128	210	1419
129	210	1410
130	211	1402
131	211	1393
132	212	1385
133	213	1377
134	213	1370
135	214	1362
136	215	1355
137	215	1347
138	216	1340
139	217	1333
140	217	1326
141	218	1317
142	218	1310
143	219	1304
144	220	1297
145	220	1290
146	221	1284
147	221	1277
148	222	1270
149	223	1264
150	223	1258
151	224	1251
152	225	1245
153	225	1240
154	226	1234
155	227	1228
156	227	1223
157	228	1217
158	229	1212
159	229	1206
160	230	1199
161	230	1193
162	231	1188
163	232	1183
164	232	1177
165	233	1172
166	234	1167
167	234	1162
168	235	1157
169	236	1152
170	236	1147
171	237	1142
172	237	1137
173	238	1132
174	239	1127
175	239	1123
176	240	1119
177	241	1115
178	242	1110
179	242	1105
180	243	1101
181	244	1096
182	244	1092
183	245	1088
184	246	1083
185	246	1079
186	247	1075
187	247	1070
188	248	1066
189	249	1062
190	249	1058
191	250	1054
192	251	1050
193	251	1046
194	252	1042
195	253	1038
196	253	1034
197	254	1030
198	255	1026
199	255	1023
200	256	1019
201	257	1015
202	257	1012
203	258	1008
204	259	1004
205	259	1000
206	260	997
207	260	993
208	261	990
209	262	986
210	262	983
211	263	979
212	264	976
213	264	973
214	265	969
215	266	966
216	266	963
217	267	959
218	268	956
219	268	953
220	269	949
221	270	946
222	271	944
223	271	941
224	272	938
225	272	934
226	273	932
227	274	928
228	275	925
229	275	922
230	276	919
231	276	916
232	277	913
233	278	910
234	278	907
235	279	905
236	280	902
237	280	899
238	281	896
239	282	893
240	282	890
241	283	887
242	284	885
243	284	882
244	285	879
245	286	877
246	286	874
247	287	871
248	288	869
249	288	866
250	289	863
251	290	861
252	290	858
253	291	855
254	291	853
255	292	850
256	293	847
257	293	845
258	294	842
259	295	840
260	295	837
261	296	835
262	297	832
263	298	830
264	298	828
265	299	825
266	299	823
267	300	820
268	301	819
269	302	816
270	302	814
271	303	812
272	304	809
273	304	807
274	305	805
275	305	802
276	306	800
277	307	798
278	307	795
279	308	793
280	309	791
281	309	789
282	310	786
283	311	784
284	311	782
285	312	780
286	313	778
287	313	776
288	314	774
289	315	772
290	316	770
291	316	768
292	317	766
293	318	764
294	319	762
295	319	760
296	320	758
297	321	756
298	321	754
299	322	752
300	323	750
301	323	748
302	324	746
303	325	744
304	326	743
305	326	741
306	327	739
307	328	738
308	329	736
309	329	734
310	330	732
311	331	730
312	332	728
313	332	726
314	333	724
315	333	722
316	334	720
317	335	719
318	335	717
319	336	715
320	337	713
321	337	711
322	338	709
323	339	707
324	339	705
325	340	704
326	341	702
327	342	700
328	342	698
329	343	697
330	344	695
331	344	693
332	345	691
333	346	690
334	346	688
335	347	686
336	348	684
337	348	682
338	349	681
339	350	679
340	350	677
341	351	676
342	352	674
343	352	672
344	353	671
345	354	669
346	355	668
347	355	666
348	356	664
349	357	663
350	357	661
351	358	659
352	359	658
353	359	656
354	360	654
